event,tag,sport,sport_code,sport_url
4 x 400m Relay Mixed,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics
Marathon Race Walk Relay Mixed,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics
Men's Singles,badminton,Badminton,BDM,https://olympics.com/en/paris-2024/sports/badminton
Women's Singles,badminton,Badminton,BDM,https://olympics.com/en/paris-2024/sports/badminton
Men's Doubles,badminton,Badminton,BDM,https://olympics.com/en/paris-2024/sports/badminton
Women's Doubles,badminton,Badminton,BDM,https://olympics.com/en/paris-2024/sports/badminton
Mixed Doubles,badminton,Badminton,BDM,https://olympics.com/en/paris-2024/sports/badminton
Men,basketball,Basketball,BKB,https://olympics.com/en/paris-2024/sports/basketball
Women,basketball,Basketball,BKB,https://olympics.com/en/paris-2024/sports/basketball
Men,3x3-basketball,3x3 Basketball,BK3,https://olympics.com/en/paris-2024/sports/3x3-basketball
Women,3x3-basketball,3x3 Basketball,BK3,https://olympics.com/en/paris-2024/sports/3x3-basketball
Men,beach-volleyball,Beach Volleyball,VBV,https://olympics.com/en/paris-2024/sports/beach-volleyball
Women,beach-volleyball,Beach Volleyball,VBV,https://olympics.com/en/paris-2024/sports/beach-volleyball
Men's 51kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's 57kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's 63.5kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's 71kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's 80kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's 92kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
Men's +92kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing
